log2N,N,delta,log2s,s,rho,storage_bytes,honest_bytes,storage_fraction,rec_hashes_median,rec_hashes_p99,depth_median,depth_p99,saturated,resp_seq_s_median,resp_seq_s_p99,resp_par_s_median,resp_par_s_p99,pass_rate,pass_validated,challenges
22,4194304,4,1,2,0.5,201326560,268435424,0.7499999701976741,452536,1132811,1810,2248,1,0.022223444482640083,0.055630850071207584,8.888670628099985e-05,0.00011039630702745175,1.0,0,20
22,4194304,4,2,4,0.25,100663264,268435424,0.37499992549418515,1442073,2660501,42432,50513,1,0.07081829789323774,0.13065368560624663,0.0020837794038206553,0.0024806266267249424,1.0,0,20
22,4194304,4,3,8,0.125,50331616,268435424,0.1874999031424407,1628402,3535589,69086,69086,1,0.07996866866375288,0.1736280999852674,0.0033927220939940087,0.0033927220939940087,1.0,0,20
22,4194304,4,4,16,0.0625,25165792,268435424,0.09374989196656847,2044203,3571724,175820,188121,1,0.1003881058783087,0.1754026420468497,0.008634287678632814,0.00923837352060109,1.0,0,20
22,4194304,4,5,32,0.03125,12582880,268435424,0.04687488637863235,1846942,3955167,190761,190761,1,0.09070087904532731,0.19423302067475323,0.00936802042920984,0.00936802042920984,1.0,0,20
22,4194304,4,6,64,0.015625,6291424,268435424,0.023437383584664295,2028144,4006229,-1,-1,1,0.09959946962628297,0.1967406079654275,-1,-1,1.0,0,20
22,4194304,4,7,128,0.0078125,3145696,268435424,0.011718632187680267,1828248,4091215,212188,212188,1,0.08978284142808034,0.20091415803172422,0.010420272062073369,0.010420272062073369,1.0,0,20
22,4194304,4,8,256,0.00390625,1572832,268435424,0.005859256489188253,1761892,4133571,58647,58647,1,0.08652418602367039,0.2029942051760546,0.002880076609536905,0.002880076609536905,1.0,0,20
22,4194304,4,9,512,0.001953125,786400,268435424,0.0029295686399422455,1894320,4165693,-1,-1,1,0.09302754996807935,0.20457167411481608,-1,-1,1.0,0,20
22,4194304,4,10,1024,0.0009765625,393184,268435424,0.001464724715319242,2399299,3921961,-1,-1,1,0.11782640082502578,0.19260231792957816,-1,-1,1.0,0,20
22,4194304,8,0,1,1.0,268435424,268435424,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,20
22,4194304,8,1,2,0.5,201326560,268435424,0.7499999701976741,1274605,2015269,-1,-1,1,0.06259416588911261,0.09896719540342779,-1,-1,1.0,0,20
22,4194304,8,2,4,0.25,100663264,268435424,0.37499992549418515,1988369,3039935,63306,110401,1,0.09764617197858862,0.1492871875460394,0.003108873938024849,0.005421647105043461,1.0,0,20
22,4194304,8,3,8,0.125,50331616,268435424,0.1874999031424407,1453709,3492474,12095,12095,1,0.0713897264646663,0.17151077935471198,0.000593969454402593,0.000593969454402593,1.0,0,20
22,4194304,8,4,16,0.0625,25165792,268435424,0.09374989196656847,2631535,3881409,-1,-1,1,0.1292312036536856,0.19061086283946374,-1,-1,1.0,0,20
22,4194304,8,5,32,0.03125,12582880,268435424,0.04687488637863235,1554578,3941542,-1,-1,1,0.07634326965574817,0.19356391494377057,-1,-1,1.0,0,20
22,4194304,8,6,64,0.015625,6291424,268435424,0.023437383584664295,2249349,3809574,110918,138124,1,0.11046255463340372,0.1870831409910131,0.005447036291312675,0.006783086971467858,1.0,0,20
22,4194304,8,7,128,0.0078125,3145696,268435424,0.011718632187680267,1774483,4144855,266550,266550,1,0.08714251338211462,0.20354834749300202,0.01308991798850857,0.01308991798850857,1.0,0,20
22,4194304,8,8,256,0.00390625,1572832,268435424,0.005859256489188253,2049804,3796423,123974,175174,1,0.10066316358100476,0.18643731277316702,0.006088199184795954,0.008602563472965672,1.0,0,20
22,4194304,8,9,512,0.001953125,786400,268435424,0.0029295686399422455,2854181,4164635,-1,-1,1,0.14016505426508863,0.2045197171340176,-1,-1,1.0,0,20
22,4194304,8,10,1024,0.0009765625,393184,268435424,0.001464724715319242,1770295,4050052,273764,273764,1,0.08693684624073074,0.19889269753965524,0.013444187988017482,0.013444187988017482,1.0,0,20
